epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1952.35,0.74158,1.33968,1.36297,0.68235,0.59995,0.66808,0.42596,1.17181,1.80729,1.77762,9.68543e-05,9.68543e-05,9.68543e-05
79,1976.86,0.71848,1.32091,1.33045,0.63816,0.60264,0.62561,0.40381,1.12302,1.8222,1.72362,9.47837e-05,9.47837e-05,9.47837e-05
80,2000.92,0.72933,1.25433,1.33622,0.67589,0.59935,0.64508,0.41282,1.15326,1.82619,1.75618,9.27159e-05,9.27159e-05,9.27159e-05
81,2025.82,0.70685,1.2689,1.29848,0.70817,0.62058,0.68663,0.43112,1.1629,1.74768,1.77246,9.06517e-05,9.06517e-05,9.06517e-05
82,2050.85,0.71968,1.29241,1.3595,0.73989,0.60344,0.68423,0.42042,1.17426,1.8073,1.80454,8.8592e-05,8.8592e-05,8.8592e-05
83,2073.95,0.72395,1.25725,1.32202,0.63364,0.64451,0.64555,0.42065,1.16099,1.70452,1.78215,8.65378e-05,8.65378e-05,8.65378e-05
84,2099.03,0.68796,1.23694,1.30797,0.70277,0.61566,0.65328,0.41307,1.17786,1.70237,1.82284,8.44899e-05,8.44899e-05,8.44899e-05
85,2123.81,0.71369,1.28113,1.32476,0.69353,0.61079,0.66082,0.44781,1.11151,1.77298,1.73766,8.24492e-05,8.24492e-05,8.24492e-05
86,2147.45,0.69623,1.22282,1.30442,0.67944,0.59775,0.65491,0.4373,1.1373,1.82044,1.74196,8.04167e-05,8.04167e-05,8.04167e-05
87,2172.33,0.71745,1.25532,1.32934,0.64184,0.84825,0.70949,0.47204,1.14765,1.78126,1.77945,7.83933e-05,7.83933e-05,7.83933e-05
88,2197.24,0.69166,1.3155,1.32093,0.6365,0.8701,0.73156,0.46893,1.12912,1.72028,1.76182,7.63797e-05,7.63797e-05,7.63797e-05
89,2221.66,0.67708,1.19186,1.28899,0.54881,0.86821,0.73123,0.46642,1.14848,1.74592,1.76173,7.43769e-05,7.43769e-05,7.43769e-05
90,2245.39,0.70702,1.22205,1.34736,0.59579,0.65608,0.68321,0.45834,1.12036,1.68056,1.75427,7.23859e-05,7.23859e-05,7.23859e-05
